GEO.id,GEO.id2,GEO.display-label,D001,D002,D003,D004,D005,D006,D007,D008
Id,Id2,Geography,Total:,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Two or More Races
1000000US421010003001003,421010003001003,"Block 1003, Block Group 1, Census Tract 3, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
1000000US421010003001004,421010003001004,"Block 1004, Block Group 1, Census Tract 3, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
1000000US421010003001005,421010003001005,"Block 1005, Block Group 1, Census Tract 3, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
1000000US421010003001006,421010003001006,"Block 1006, Block Group 1, Census Tract 3, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
1000000US421010003001007,421010003001007,"Block 1007, Block Group 1, Census Tract 3, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
1000000US421010003001008,421010003001008,"Block 1008, Block Group 1, Census Tract 3, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
1000000US421010003001009,421010003001009,"Block 1009, Block Group 1, Census Tract 3, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
1000000US421010003001010,421010003001010,"Block 1010, Block Group 1, Census Tract 3, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
1000000US421010003001011,421010003001011,"Block 1011, Block Group 1, Census Tract 3, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
1000000US421010003001012,421010003001012,"Block 1012, Block Group 1, Census Tract 3, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
1000000US421010003001013,421010003001013,"Block 1013, Block Group 1, Census Tract 3, Philadelphia County, Pennsylvania",5,4,1,0,0,0,0,0
1000000US421010003001014,421010003001014,"Block 1014, Block Group 1, Census Tract 3, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
1000000US421010003001015,421010003001015,"Block 1015, Block Group 1, Census Tract 3, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
1000000US421010003001016,421010003001016,"Block 1016, Block Group 1, Census Tract 3, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
1000000US421010003001017,421010003001017,"Block 1017, Block Group 1, Census Tract 3, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
1000000US421010003001018,421010003001018,"Block 1018, Block Group 1, Census Tract 3, Philadelphia County, Pennsylvania",108,85,12,0,3,0,4,4
1000000US421010003001019,421010003001019,"Block 1019, Block Group 1, Census Tract 3, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
1000000US421010003001020,421010003001020,"Block 1020, Block Group 1, Census Tract 3, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
1000000US421010003001021,421010003001021,"Block 1021, Block Group 1, Census Tract 3, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
1000000US421010003001022,421010003001022,"Block 1022, Block Group 1, Census Tract 3, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
1000000US421010003001023,421010003001023,"Block 1023, Block Group 1, Census Tract 3, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
1000000US421010003001024,421010003001024,"Block 1024, Block Group 1, Census Tract 3, Philadelphia County, Pennsylvania",47,40,0,0,4,0,0,3
1000000US421010003001025,421010003001025,"Block 1025, Block Group 1, Census Tract 3, Philadelphia County, Pennsylvania",27,22,1,0,4,0,0,0
1000000US421010003001026,421010003001026,"Block 1026, Block Group 1, Census Tract 3, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
1000000US421010003001027,421010003001027,"Block 1027, Block Group 1, Census Tract 3, Philadelphia County, Pennsylvania",19,10,3,0,4,0,0,2
1000000US421010003001028,421010003001028,"Block 1028, Block Group 1, Census Tract 3, Philadelphia County, Pennsylvania",18,16,2,0,0,0,0,0
1000000US421010003001029,421010003001029,"Block 1029, Block Group 1, Census Tract 3, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
1000000US421010003001030,421010003001030,"Block 1030, Block Group 1, Census Tract 3, Philadelphia County, Pennsylvania",271,191,21,0,52,0,6,1
